,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
nc0101,Come la not di vinars sant,Maria Moro; Regina Chiapolino,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-01,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1x0oe4U5n_v_9G6S4X47w7xHCGlX927dB/view?usp=drive_link,,,,
nc0102,Fait in su su che bançute,Maria Moro; Regina Chiapolino,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-02,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1OoVJOaO6wX_cUwPQbdtT3f1qEJMIXcTw/view?usp=drive_link,,,,
nc0103,Cui spietaiso preolanis,Maria Moro; Regina Chiapolino,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-03,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1mEU37eExUH6RyIORzTvWxzPgmWE8jgyO/view?usp=drive_link,,,,
nc0104,Lis fantatis preolanis,Maria Moro; Regina Chiapolino,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-04,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1oYilIII1dBYcJpLZIc6eVXKRePqeCXsu/view?usp=drive_link,,,,
nc0105,O vou cir pietous di stelis,Maria Moro; Regina Chiapolino,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-05,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1JWwtvyNZ9kEo1dGlKykJjacv6Ru-glhN/view?usp=drive_link,,,,
nc0106,Tuntrine tuntraine,Maria Moro; Regina Chiapolino,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-06,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1OnCi4L1a4XSfpRqYoqdm_MOJBpM9MdvN/view?usp=drive_link,,,,
nc0107,Oi ninâ,Maria Moro,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-07,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/14iCD5M1izEP1r4mRSI7-jJ4gp7vsT0iY/view?usp=drive_link,,,,
nc0108,Faseimi quatri fritulis,Maria Moro,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-08,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1yQikgz1YK3XKQMsetmkGhGf5jKYone30/view?usp=drive_link,,,,
nc0109,O concetta immacolata,Maria Moro; Regina Chiapolino,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-09,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1muNm26dYfYLgi5dAZ9v8UUPvI0HM5X3d/view?usp=drive_link,,,,
nc0110,Puer natus in Bethlem,Maria Moro; Regina Chiapolino,15 novembre 1969,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-10,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1DCXElIQsZT-hHB13uiGqgvJhgd7Dy1hd/view?usp=drive_link,,,,
nc0111,Oj assassine praduline!,,,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-11,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1m2cwbOW7G-LkLhuUKExLJYlZO_lMroEF/view?usp=drive_link,,,,
nc0112,Rosario + Santa Maria,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-12,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1Q5C8dMcVfe7byzTGAuyn28-vMKHCPWpz/view?usp=drive_link,,,,
nc0113,Amabile Maria,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-13,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1PTuChKKfWxl5LLGHefSe5ue3jm199pv9/view?usp=drive_link,,,,
nc0114,Per andare a Roma,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-14,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1UZfORDnXbW_XZyMrocGf3QXSbX6QucOa/view?usp=drive_link,,,,
nc0115,La bella Margherita,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-15,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1Iz-QhoyzDuahWwN-arZyAOWQsdR4qEuU/view?usp=drive_link,,,,
nc0116,E la figlia del bacan,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-16,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1lkr_QavspYmiYD-hARMtsGhDQcckV_uL/view?usp=drive_link,,,,
nc0117,E la bella si mise in strada,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-17,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1enbfjqKA_wY49x99z-l_nek63j41OaLV/view?usp=drive_link,,,,
nc0118,La povera Cecilia,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-18,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1-cnwzH4gvC9mXDuxD5fs94rVe_N14Iwl/view?usp=drive_link,,,,
nc0119,La più bela de Rovigno,Maria Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-19,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1Z4ItTbNfqR78aF_arXOY4s4mSNyhzVqg/view?usp=drive_link,,,,
nc0120,Faissi fûr fantats di Vile,Maria Moro; Regina Chiapolino; Silvia Moro; Caterina Moro,16 maggio 1970,Canto popolare carnico - Priola,Canto popolare carnico - Priola,Priola (UD),129.59.00,176.43.00,Collezione privata di Valter Colle,NC-01-20,Audio,AIF Audio File (VLC),friulano,"Diritti da verificare con il titolare della registrazione; utilizzo consentito esclusivamente per finalità di ricerca, previa autorizzazione.",In Copyright – Rights-Holder(s) Unlocatable or Unresponsive,audio,https://drive.google.com/file/d/1gLiPAAq7ROHyfQjyETiX1twEjSU5lCkm/view?usp=drive_link,,,,
